"Year","Rank","Institution","Satisfied_with_Course","Satisfied_with_Teaching","Satisfied_with_Feedback","Student_to Staff_Ratio","Spend_per_Student","Average_Entry_Tariff","Value_Added_Score","Career_after_15 months","Continuation","Guardian Score"
"2021","20","Aberdeen","87","86","69","16","4.4","183","6.6","82","94","68.1"
"2020","34","Aberdeen","86","87","71","16","4.3","184","6.8","81","91","62.5"
"2019","51","Aberdeen","86","88","67","15","4.5","181","6.2","77","90","64.9"
"2018","46","Aberdeen","86","88","68","14","4.5","168","6.3","78","0","62.3"
"2017","36","Aberdeen","84","86","65","13","5.8","442","6","76","0","66.1"
"2016","41","Aberdeen","86","86","64","13","5.4","446","6","75","0","66.8"
"2015","41","Aberdeen","88","88","67","15","4.9","444","5.3","76","0","62.5"
"2014","43","Aberdeen","88","86","64","16","5.2","443","6","72","0","64.2"
"2013","38","Aberdeen","88","88","66","16","5.6","397","6.6","69","0","64"
"2012","45","Aberdeen","88","87","64","15","5.2","330","6.5","67","0","60.3"
"2011","33","Aberdeen","89","89","66","15","5","353","5.9","76","0","64.7"
"2022","20","Aberdeen","86","85","66","15","4.8","184","7","82","94","74.5"
"2021","48","Abertay Dundee","88","88","80","21","2.1","142","7","71","89","61.2"
"2020","87","Abertay Dundee","78","82","75","19","2.4","142","5.6","74","87","46.8"
"2019","68","Abertay Dundee","85","86","75","18","2.3","154","5.8","66","88","62.4"
"2018","66","Abertay Dundee","88","89","76","19","2.3","158","6.7","68","0","56.8"
"2017","85","Abertay Dundee","87","88","72","19","2.6","346","6.7","65","0","53.4"
"2016","93","Abertay Dundee","84","85","64","21","2.6","337","7.5","61","0","51"
"2015","101","Abertay Dundee","83","86","59","21","2.4","330","6.6","67","0","46.3"
"2014","114","Abertay Dundee","81","82","59","24","1.8","315","5","52","0","35.3"
"2013","119","Abertay Dundee","0","0","0","25","2.1","277","4.9","47","0","30.2"
"2012","106","Abertay Dundee","0","0","0","19","2.7","242","4.6","55","0","43.2"
"2011","110","Abertay Dundee","0","0","0","21","2.7","251","5.9","52","0","40.6"
"2022","88","Abertay Dundee","83","86","76","22","2","144","6.5","71","88","61.2"
"2021","49","Aberystwyth","90","90","84","16","4.8","123","4.8","71","91","61.1"
"2020","54","Aberystwyth","89","90","83","16","4.2","119","4","78","90","55"
"2019","45","Aberystwyth","90","90","80","16","4.5","120","3.4","74","91","66.6"
"2018","81","Aberystwyth","92","90","79","16","4.6","107","3.8","67","0","53.8"
"2017","108","Aberystwyth","82","85","69","19","4.7","289","3.5","62","0","43.6"
"2016","110","Aberystwyth","82","85","65","17","4.4","312","3.9","53","0","44.2"
"2015","106","Aberystwyth","82","84","65","20","4.5","325","4.5","54","0","43.8"
"2014","88","Aberystwyth","88","87","68","19","4.8","327","3.3","53","0","49.5"
"2013","81","Aberystwyth","89","89","70","19","4.4","305","3.9","47","0","49"
"2012","50","Aberystwyth","92","92","72","18","4.8","297","4.5","51","0","58.8"
"2011","49","Aberystwyth","90","89","71","16","4.4","292","4.4","57","0","60.1"
"2022","64","Aberystwyth","86","87","81","16","5.8","118","3.3","71","92","65.5"
"2021","80","Anglia Ruskin","82","85","76","17","6.3","110","6.6","77","87","56.4"
"2020","99","Anglia Ruskin","82","86","77","18","6","110","5.8","67","85","41.9"
"2019","103","Anglia Ruskin","83","87","77","18","6.7","104","5.2","67","84","53.8"
"2018","72","Anglia Ruskin","84","87","77","17","7.8","101","6.1","56","0","55.2"
"2017","66","Anglia Ruskin","86","89","77","17","8.1","256","4.9","65","0","56.7"
"2016","88","Anglia Ruskin","85","88","75","19","7.7","253","4.4","58","0","52.9"
"2015","105","Anglia Ruskin","80","85","71","23","7.8","251","3.4","61","0","44.1"
"2014","67","Anglia Ruskin","80","86","73","20","7.8","247","5.2","59","0","55.2"
"2013","77","Anglia Ruskin","76","80","70","19","8","241","4.8","50","0","50.2"
"2012","91","Anglia Ruskin","70","77","67","22","7.7","252","5.2","50","0","47.8"
"2011","84","Anglia Ruskin","70","77","64","20","8.1","252","5.6","54","0","51.6"
"2022","97","Anglia Ruskin","78","82","73","20","7.7","107","5.4","77","88","60.1"
"2021","30","Aston","84","83","70","16","5.9","128","6.4","83","96","64.7"
"2020","36","Aston","84","85","71","17","5.8","133","7.5","78","95","62.3"
"2019","43","Aston","87","88","75","20","5.4","136","6.3","78","94","66.9"
"2018","51","Aston","88","87","74","20","6.5","136","5.4","81","0","60.7"
"2017","29","Aston","87","87","76","19","6.7","365","7.5","77","0","69.4"
"2016","33","Aston","88","86","73","16","6.8","368","5.6","76","0","70.1"
"2015","22","Aston","87","86","72","16","5.8","381","6.2","73","0","70.4"
"2014","30","Aston","82","84","65","16","6.5","398","6.1","76","0","68.6"
"2013","27","Aston","86","83","64","17","6.9","381","6.1","73","0","67.7"
"2012","34","Aston","83","81","59","17","5.9","369","5.3","73","0","64.2"
"2011","36","Aston","84","82","59","18","5.4","363","6.3","73","0","63.7"
"2022","25","Aston","79","80","65","15","6","126","6","83","95","73.3"
"2021","75","Bangor","86","85","77","15","3.1","123","4.1","77","92","56.8"
"2020","78","Bangor","88","89","77","17","3","131","4.2","68","92","49.4"
"2019","47","Bangor","89","88","78","16","3.4","133","4","69","92","66.2"
"2018","63","Bangor","89","90","77","16","3.9","126","3.9","66","0","57.6"
"2017","55","Bangor","90","90","78","16","4.3","343","4","67","0","60.5"
"2016","57","Bangor","90","88","76","16","4.8","320","4.3","67","0","61"
"2015","82","Bangor","83","85","71","17","4.7","305","4.4","65","0","52.4"
"2014","74","Bangor","86","86","77","20","5","320","4.8","51","0","53.5"
"2013","63","Bangor","86","88","71","19","5.5","293","4.5","55","0","54.4"
"2012","79","Bangor","86","87","67","20","5.4","286","4","54","0","50.8"
"2011","65","Bangor","85","86","65","17","6","283","4.6","51","0","55.4"
"2022","86","Bangor","79","81","72","15","3.1","120","4.9","77","90","61.6"
"2021","6","Bath","87","86","67","14","6.3","174","7.1","91","97","80.1"
"2020","6","Bath","85","87","69","15","6.2","182","6.8","87","97","80"
"2019","6","Bath","88","87","72","15","6.3","185","6.6","84","96","84.1"
"2018","5","Bath","88","87","70","15","6.4","182","6.9","85","0","81.9"
"2017","10","Bath","90","90","74","15","6","481","5.9","84","0","79.9"
"2016","5","Bath","93","91","74","16","6","478","6.9","85","0","85.9"
"2015","4","Bath","93","92","74","16","5.9","489","6.3","83","0","83.4"
"2014","7","Bath","91","91","69","16","6.7","480","6.5","79","0","82"
"2013","9","Bath","91","89","66","17","5.6","459","6.8","76","0","75.8"
"2012","14","Bath","86","86","61","16","5.3","456","6.4","75","0","73.6"
"2011","13","Bath","87","86","59","15","5.2","450","5.8","79","0","71.4"
"2022","8","Bath","87","86","63","15","6.1","167","6.4","91","97","84.7"
"2021","109","Bath Spa","77","80","71","17","4.2","111","6.5","68","91","46.7"
"2020","107","Bath Spa","80","83","72","18","5.1","118","6.2","67","90","37.5"
"2019","103","Bath Spa","82","85","75","19","4.8","121","5.6","63","91","53.8"
"2018","97","Bath Spa","84","87","77","18","4.4","117","5.4","61","0","49.2"
"2017","66","Bath Spa","89","90","81","18","5.1","321","5.3","54","0","56.7"
"2016","61","Bath Spa","88","89","78","19","5.1","317","5.7","56","0","60"
"2015","69","Bath Spa","87","89","75","20","4.5","331","5.7","58","0","54.5"
"2014","78","Bath Spa","84","87","72","21","3.9","339","6","55","0","51.8"
"2013","71","Bath Spa","84","88","71","21","3.8","301","6.2","51","0","51.4"
"2012","65","Bath Spa","79","86","71","21","4.1","290","7.6","43","0","54.2"
"2011","67","Bath Spa","83","88","74","26","3.1","279","7.5","51","0","54.7"
"2022","91","Bath Spa","75","80","71","18","5.5","106","6.7","68","91","60.8"
"2021","121","Bedfordshire","76","82","71","19","4.9","101","3.9","74","79","30.1"
"2020","121","Bedfordshire","81","84","73","17","5.5","101","4.2","70","80","27.9"
"2019","113","Bedfordshire","81","83","72","17","5.9","95.2","5.7","68","84","49.4"
"2018","98","Bedfordshire","84","84","75","16","5.8","92.5","6.6","61","0","48.9"
"2017","113","Bedfordshire","81","84","76","17","5.9","239","3.4","58","0","40.5"
"2016","98","Bedfordshire","84","85","75","18","5.4","229","4.9","59","0","49"
"2015","115","Bedfordshire","81","81","71","20","4.4","224","3.9","53","0","30.7"
"2014","110","Bedfordshire","78","80","68","23","5.6","213","4.6","56","0","40.3"
"2013","103","Bedfordshire","79","84","70","19","5.9","207","5","53","0","42.9"
"2012","102","Bedfordshire","76","81","64","19","6.2","186","4.1","57","0","44.5"
"2011","103","Bedfordshire","79","82","68","19","4.4","199","5.3","57","0","45.7"
"2022","121","Bedfordshire","70","79","68","26","4.2","104","2.8","74","80","34"
"2019","115","Birkbeck","84","86","67","15","3.9","92.4","2.7","72","78","47.7"
"2018","113","Birkbeck","87","88","73","16","3.2","104","2.9","72","0","42.4"
"2021","21","Birmingham","84","85","66","14","6.8","159","6.3","87","96","67.3"
"2020","16","Birmingham","86","88","69","13","7.4","165","6.7","85","96","69.8"
"2019","19","Birmingham","88","89","71","14","7.2","166","6.4","85","96","75.6"
"2018","15","Birmingham","88","90","72","14","7.3","165","6.7","85","0","74.5"
"2017","13","Birmingham","87","90","70","14","7.3","429","6.7","86","0","76.6"
"2016","17","Birmingham","89","90","69","15","7.4","426","6.4","84","0","75.1"
"2015","17","Birmingham","87","89","69","14","7.5","439","5.8","80","0","73.5"
"2014","15","Birmingham","87","89","68","14","8.4","443","5.8","77","0","75.4"
"2013","30","Birmingham","85","87","62","15","8.1","433","5.6","70","0","67.3"
"2012","24","Birmingham","87","88","62","15","7.9","420","5","67","0","68.1"
"2011","30","Birmingham","85","86","63","15","7.4","403","5.2","66","0","65.4"
"2022","29","Birmingham","77","81","59","14","6.8","152","6.5","87","96","72.3"
"2021","83","Birmingham City","81","83","75","16","6.4","123","5.4","75","90","56"
"2020","81","Birmingham City","84","85","77","17","6.3","123","5.1","78","88","48.3"
"2019","97","Birmingham City","82","85","74","18","6.1","127","4.6","70","88","56"
"2018","101","Birmingham City","81","84","74","18","5","119","5.4","69","0","48"
"2017","105","Birmingham City","80","82","72","19","4.8","316","5.5","64","0","45.2"
"2016","86","Birmingham City","83","85","74","20","4.7","299","6.2","63","0","54.6"
"2015","88","Birmingham City","82","83","72","21","4.2","316","6.1","63","0","50.2"
"2014","61","Birmingham City","81","82","72","21","5.6","323","5.9","63","0","57.3"
"2013","60","Birmingham City","80","83","71","21","5.7","280","7","60","0","54.7"
"2012","90","Birmingham City","73","78","63","20","5.3","261","5.5","65","0","48.4"
"2011","66","Birmingham City","77","80","65","19","5.9","253","5.9","64","0","55"
"2022","67","Birmingham City","76","80","73","16","6.4","118","5.3","75","90","65.2"
"2021","50","Bolton","83","88","78","14","6.8","114","2.8","69","87","61"
"2020","86","Bolton","82","87","78","14","6.1","114","3.4","58","84","46.9"
"2019","85","Bolton","82","84","76","14","4.7","112","3.8","65","82","58.7"
"2018","86","Bolton","81","83","76","15","3.4","109","4.6","59","0","52.2"
"2017","93","Bolton","82","85","75","15","4.3","290","4.4","60","0","51.1"
"2016","105","Bolton","78","82","73","17","4.4","286","3.4","57","0","47"
"2015","113","Bolton","77","83","71","19","3.4","275","3.2","53","0","35.4"
"2014","115","Bolton","77","82","68","20","3.4","270","3.2","40","0","33.1"
"2013","120","Bolton","79","81","67","19","3.1","231","3.1","34","0","28.9"
"2012","116","Bolton","78","82","66","20","3.2","221","3","40","0","35.7"
"2011","116","Bolton","77","79","63","19","2.5","202","3.9","50","0","35.6"
"2022","46","Bolton","80","85","76","14","8.4","114","2","69","87","68.7"
"2021","56","Bournemouth","79","81","70","17","4.2","115","6.7","81","93","59.4"
"2020","73","Bournemouth","80","83","69","17","4.8","122","7.1","68","90","51.3"
"2019","65","Bournemouth","80","83","68","17","5.3","122","7.4","70","90","62.7"
"2018","61","Bournemouth","82","87","70","16","5.6","122","6.9","71","0","57.9"
"2017","79","Bournemouth","76","82","66","17","5.7","321","7.1","66","0","53.9"
"2016","63","Bournemouth","80","82","64","18","5.9","328","7","63","0","59.7"
"2015","71","Bournemouth","79","83","68","21","5.8","336","5.5","64","0","53.8"
"2014","52","Bournemouth","78","82","68","21","6.5","345","7.2","61","0","61.2"
"2013","55","Bournemouth","70","76","60","20","6.9","325","7.3","62","0","56.3"
"2012","42","Bournemouth","77","82","65","23","6.9","295","6.6","58","0","60.8"
"2011","38","Bournemouth","79","81","66","23","6.7","296","6.8","68","0","63.4"
"2022","89","Bournemouth","70","77","65","18","4.5","110","6","81","91","61.1"
"2021","99","Bradford","77","79","67","18","3.1","124","6.6","79","91","50.5"
"2020","71","Bradford","77","79","66","17","3.7","133","6.8","83","89","51.7"
"2019","72","Bradford","81","82","69","16","4.1","129","6.1","80","90","61.7"
"2018","75","Bradford","82","82","70","16","4.5","127","6","78","0","54.9"
"2017","52","Bradford","85","83","73","16","5.3","321","6.6","75","0","61.2"
"2016","72","Bradford","81","80","66","17","5","313","7","71","0","58.3"
"2015","83","Bradford","82","81","68","18","4.7","319","5.8","69","0","52.1"
"2014","90","Bradford","78","80","67","19","5.6","310","3.6","67","0","49.2"
"2013","91","Bradford","83","82","66","17","5.2","277","3.2","64","0","46.5"
"2012","86","Bradford","83","80","63","17","5.2","264","3.8","66","0","49.4"
"2011","74","Bradford","83","80","63","16","5.7","270","5.4","67","0","54"
"2022","79","Bradford","76","79","68","18","2.6","123","7.4","79","90","64.1"
"2021","102","Brighton","78","82","70","17","3.9","114","4.8","80","89","49.3"
"2020","114","Brighton","76","82","70","18","3.4","117","5.7","67","89","34"
"2019","107","Brighton","79","83","69","18","3.4","117","5.2","68","90","53.4"
"2018","91","Brighton","79","83","69","17","3.7","118","5.5","70","0","51"
"2017","91","Brighton","84","85","69","17","3.7","304","5.1","66","0","51.3"
"2016","67","Brighton","82","85","69","17","4.1","321","5.9","64","0","59"
"2015","62","Brighton","83","84","70","18","4","315","6.1","59","0","56.9"
"2014","68","Brighton","80","85","68","19","4.5","304","5.8","58","0","54.9"
"2013","64","Brighton","83","84","67","18","4.6","289","6","49","0","54.3"
"2012","73","Brighton","80","82","65","18","4.6","288","6","53","0","52.8"
"2011","78","Brighton","80","83","64","20","4.4","279","6","59","0","53.6"
"2022","102","Brighton","69","77","65","16","5.1","108","5.2","80","89","59.6"
"2021","11","Bristol","83","85","67","13","6.8","169","6.5","86","96","72"
"2020","23","Bristol","82","86","66","13","6.7","177","6.3","80","96","65.9"
"2019","20","Bristol","85","89","67","13","6.5","183","6","79","96","75"
"2018","27","Bristol","86","90","67","13","6.4","186","6.2","78","0","69.3"
"2017","38","Bristol","84","88","63","13","5.7","479","6.2","79","0","65.1"
"2016","35","Bristol","84","88","64","13","5.3","486","6.4","80","0","69.7"
"2015","34","Bristol","86","89","66","14","5.3","482","5.9","79","0","66.1"
"2014","23","Bristol","85","90","65","14","5.9","487","6","78","0","71"
"2013","18","Bristol","87","90","66","14","5.7","477","5.9","75","0","70.3"
"2012","25","Bristol","84","89","57","13","6.3","465","5.7","75","0","67.9"
"2011","33","Bristol","84","89","55","13","6.1","447","5.2","76","0","64.7"
"2022","14","Bristol","78","83","62","13","7","164","6.2","86","96","76.6"
"2021","110","Brunel","78","77","64","17","4.2","119","5","79","92","46.2"
"2020","99","Brunel","79","78","63","18","5.1","125","5.3","71","92","41.9"
"2019","58","Brunel","82","81","70","16","5","131","6","72","92","63"
"2018","72","Brunel","83","84","74","15","4.4","131","5.4","70","0","55.2"
"2017","77","Brunel","84","83","71","15","4.4","349","5.3","63","0","54.1"
"2016","53","Brunel","89","85","75","16","5.5","351","4.6","60","0","61.6"
"2015","52","Brunel","86","84","72","16","5.8","352","4.5","60","0","58.7"
"2014","44","Brunel","83","83","72","17","6.6","356","5.6","56","0","63.4"
"2013","44","Brunel","85","83","72","18","6.2","342","5.7","57","0","62.5"
"2012","82","Brunel","75","76","59","20","4.3","325","6.7","54","0","50.1"
"2011","75","Brunel","76","77","60","19","4.1","315","7.1","62","0","53.9"
"2022","116","Brunel","67","72","59","17","3.4","118","4.3","79","93","54.7"
"2014","25","Buckingham","92","88","78","11","3.7","309","1.9","86","0","70.6"
"2013","16","Buckingham","93","91","79","10","3.6","269","1.7","74","0","71.6"
"2021","92","Bucks New University","75","79","71","16","7.6","110","5.1","74","89","52.4"
